idx,src_node_id,src_idx,src_optode_name,src_wl,src_coords_3d,det_node_id,det_idx,det_optode_name,det_coords_3d
669,3,2,B,735,,12,1,1,
670,3,2,B,735,,12,2,2,
671,3,2,B,735,,12,3,3,
672,3,2,B,735,,12,4,4,
673,3,3,C,735,,1,1,1,
674,3,3,C,735,,1,2,2,
675,3,3,C,735,,1,3,3,
676,3,3,C,735,,1,4,4,
677,3,3,C,735,,2,1,1,
678,3,3,C,735,,2,2,2,
679,3,3,C,735,,2,3,3,
680,3,3,C,735,,2,4,4,
681,3,3,C,735,,3,1,1,
682,3,3,C,735,,3,2,2,
683,3,3,C,735,,3,3,3,
684,3,3,C,735,,3,4,4,
685,3,3,C,735,,4,1,1,
686,3,3,C,735,,4,2,2,
687,3,3,C,735,,4,3,3,
688,3,3,C,735,,4,4,4,
689,3,3,C,735,,5,1,1,
690,3,3,C,735,,5,2,2,
691,3,3,C,735,,5,3,3,
692,3,3,C,735,,5,4,4,
693,3,3,C,735,,6,1,1,
694,3,3,C,735,,6,2,2,
695,3,3,C,735,,6,3,3,
696,3,3,C,735,,6,4,4,
697,3,3,C,735,,7,1,1,
698,3,3,C,735,,7,2,2,
699,3,3,C,735,,7,3,3,
700,3,3,C,735,,7,4,4,
701,3,3,C,735,,8,1,1,
702,3,3,C,735,,8,2,2,
703,3,3,C,735,,8,3,3,
704,3,3,C,735,,8,4,4,
705,3,3,C,735,,9,1,1,
706,3,3,C,735,,9,2,2,
707,3,3,C,735,,9,3,3,
708,3,3,C,735,,9,4,4,
709,3,3,C,735,,10,1,1,
710,3,3,C,735,,10,2,2,
711,3,3,C,735,,10,3,3,
712,3,3,C,735,,10,4,4,
713,3,3,C,735,,11,1,1,
714,3,3,C,735,,11,2,2,
715,3,3,C,735,,11,3,3,
716,3,3,C,735,,11,4,4,
717,3,3,C,735,,12,1,1,
718,3,3,C,735,,12,2,2,
719,3,3,C,735,,12,3,3,
720,3,3,C,735,,12,4,4,
721,3,4,A,850,,1,1,1,
722,3,4,A,850,,1,2,2,
723,3,4,A,850,,1,3,3,
724,3,4,A,850,,1,4,4,
725,3,4,A,850,,2,1,1,
726,3,4,A,850,,2,2,2,
727,3,4,A,850,,2,3,3,
728,3,4,A,850,,2,4,4,
729,3,4,A,850,,3,1,1,
730,3,4,A,850,,3,2,2,
731,3,4,A,850,,3,3,3,
732,3,4,A,850,,3,4,4,
733,3,4,A,850,,4,1,1,
734,3,4,A,850,,4,2,2,
735,3,4,A,850,,4,3,3,
736,3,4,A,850,,4,4,4,
737,3,4,A,850,,5,1,1,
738,3,4,A,850,,5,2,2,
739,3,4,A,850,,5,3,3,
740,3,4,A,850,,5,4,4,
741,3,4,A,850,,6,1,1,
742,3,4,A,850,,6,2,2,
743,3,4,A,850,,6,3,3,
744,3,4,A,850,,6,4,4,
745,3,4,A,850,,7,1,1,
746,3,4,A,850,,7,2,2,
747,3,4,A,850,,7,3,3,
748,3,4,A,850,,7,4,4,
749,3,4,A,850,,8,1,1,
750,3,4,A,850,,8,2,2,
751,3,4,A,850,,8,3,3,
752,3,4,A,850,,8,4,4,
753,3,4,A,850,,9,1,1,
754,3,4,A,850,,9,2,2,
755,3,4,A,850,,9,3,3,
756,3,4,A,850,,9,4,4,
757,3,4,A,850,,10,1,1,
758,3,4,A,850,,10,2,2,
759,3,4,A,850,,10,3,3,
760,3,4,A,850,,10,4,4,
761,3,4,A,850,,11,1,1,
762,3,4,A,850,,11,2,2,
763,3,4,A,850,,11,3,3,
764,3,4,A,850,,11,4,4,
765,3,4,A,850,,12,1,1,
766,3,4,A,850,,12,2,2,
767,3,4,A,850,,12,3,3,
768,3,4,A,850,,12,4,4,
769,3,5,B,850,,1,1,1,
770,3,5,B,850,,1,2,2,
771,3,5,B,850,,1,3,3,
772,3,5,B,850,,1,4,4,
773,3,5,B,850,,2,1,1,
774,3,5,B,850,,2,2,2,
775,3,5,B,850,,2,3,3,
776,3,5,B,850,,2,4,4,
777,3,5,B,850,,3,1,1,
778,3,5,B,850,,3,2,2,
779,3,5,B,850,,3,3,3,
780,3,5,B,850,,3,4,4,
781,3,5,B,850,,4,1,1,
782,3,5,B,850,,4,2,2,
783,3,5,B,850,,4,3,3,
784,3,5,B,850,,4,4,4,
785,3,5,B,850,,5,1,1,
786,3,5,B,850,,5,2,2,
787,3,5,B,850,,5,3,3,
788,3,5,B,850,,5,4,4,
789,3,5,B,850,,6,1,1,
790,3,5,B,850,,6,2,2,
791,3,5,B,850,,6,3,3,
792,3,5,B,850,,6,4,4,
793,3,5,B,850,,7,1,1,
794,3,5,B,850,,7,2,2,
795,3,5,B,850,,7,3,3,
796,3,5,B,850,,7,4,4,
797,3,5,B,850,,8,1,1,
798,3,5,B,850,,8,2,2,
799,3,5,B,850,,8,3,3,
800,3,5,B,850,,8,4,4,
801,3,5,B,850,,9,1,1,
802,3,5,B,850,,9,2,2,
803,3,5,B,850,,9,3,3,
804,3,5,B,850,,9,4,4,
805,3,5,B,850,,10,1,1,
806,3,5,B,850,,10,2,2,
807,3,5,B,850,,10,3,3,
808,3,5,B,850,,10,4,4,
809,3,5,B,850,,11,1,1,
810,3,5,B,850,,11,2,2,
811,3,5,B,850,,11,3,3,
812,3,5,B,850,,11,4,4,
813,3,5,B,850,,12,1,1,
814,3,5,B,850,,12,2,2,
815,3,5,B,850,,12,3,3,
816,3,5,B,850,,12,4,4,
817,3,6,C,850,,1,1,1,
818,3,6,C,850,,1,2,2,
819,3,6,C,850,,1,3,3,
820,3,6,C,850,,1,4,4,
821,3,6,C,850,,2,1,1,
822,3,6,C,850,,2,2,2,
823,3,6,C,850,,2,3,3,
824,3,6,C,850,,2,4,4,
825,3,6,C,850,,3,1,1,
826,3,6,C,850,,3,2,2,
827,3,6,C,850,,3,3,3,
828,3,6,C,850,,3,4,4,
829,3,6,C,850,,4,1,1,
830,3,6,C,850,,4,2,2,
831,3,6,C,850,,4,3,3,
832,3,6,C,850,,4,4,4,
833,3,6,C,850,,5,1,1,
834,3,6,C,850,,5,2,2,
835,3,6,C,850,,5,3,3,
836,3,6,C,850,,5,4,4,
837,3,6,C,850,,6,1,1,
838,3,6,C,850,,6,2,2,
839,3,6,C,850,,6,3,3,
840,3,6,C,850,,6,4,4,
841,3,6,C,850,,7,1,1,
842,3,6,C,850,,7,2,2,
843,3,6,C,850,,7,3,3,
844,3,6,C,850,,7,4,4,
845,3,6,C,850,,8,1,1,
846,3,6,C,850,,8,2,2,
847,3,6,C,850,,8,3,3,
848,3,6,C,850,,8,4,4,
849,3,6,C,850,,9,1,1,
850,3,6,C,850,,9,2,2,
851,3,6,C,850,,9,3,3,
852,3,6,C,850,,9,4,4,
853,3,6,C,850,,10,1,1,
854,3,6,C,850,,10,2,2,
855,3,6,C,850,,10,3,3,
856,3,6,C,850,,10,4,4,
857,3,6,C,850,,11,1,1,
858,3,6,C,850,,11,2,2,
859,3,6,C,850,,11,3,3,
860,3,6,C,850,,11,4,4,
861,3,6,C,850,,12,1,1,
862,3,6,C,850,,12,2,2,
863,3,6,C,850,,12,3,3,
864,3,6,C,850,,12,4,4,
865,4,1,A,735,,1,1,1,
866,4,1,A,735,,1,2,2,
867,4,1,A,735,,1,3,3,
868,4,1,A,735,,1,4,4,
869,4,1,A,735,,2,1,1,
870,4,1,A,735,,2,2,2,
871,4,1,A,735,,2,3,3,
872,4,1,A,735,,2,4,4,
873,4,1,A,735,,3,1,1,
874,4,1,A,735,,3,2,2,
875,4,1,A,735,,3,3,3,
876,4,1,A,735,,3,4,4,
877,4,1,A,735,,4,1,1,
878,4,1,A,735,,4,2,2,
879,4,1,A,735,,4,3,3,
880,4,1,A,735,,4,4,4,
881,4,1,A,735,,5,1,1,
882,4,1,A,735,,5,2,2,
883,4,1,A,735,,5,3,3,
884,4,1,A,735,,5,4,4,
885,4,1,A,735,,6,1,1,
886,4,1,A,735,,6,2,2,
887,4,1,A,735,,6,3,3,
888,4,1,A,735,,6,4,4,
889,4,1,A,735,,7,1,1,
890,4,1,A,735,,7,2,2,
891,4,1,A,735,,7,3,3,
892,4,1,A,735,,7,4,4,
893,4,1,A,735,,8,1,1,
894,4,1,A,735,,8,2,2,
895,4,1,A,735,,8,3,3,
896,4,1,A,735,,8,4,4,
897,4,1,A,735,,9,1,1,
898,4,1,A,735,,9,2,2,
899,4,1,A,735,,9,3,3,
900,4,1,A,735,,9,4,4,
901,4,1,A,735,,10,1,1,
902,4,1,A,735,,10,2,2,
903,4,1,A,735,,10,3,3,
904,4,1,A,735,,10,4,4,
905,4,1,A,735,,11,1,1,
906,4,1,A,735,,11,2,2,
907,4,1,A,735,,11,3,3,
908,4,1,A,735,,11,4,4,
909,4,1,A,735,,12,1,1,
910,4,1,A,735,,12,2,2,
911,4,1,A,735,,12,3,3,
912,4,1,A,735,,12,4,4,
913,4,2,B,735,,1,1,1,
914,4,2,B,735,,1,2,2,
915,4,2,B,735,,1,3,3,
916,4,2,B,735,,1,4,4,
917,4,2,B,735,,2,1,1,
918,4,2,B,735,,2,2,2,
919,4,2,B,735,,2,3,3,
920,4,2,B,735,,2,4,4,
921,4,2,B,735,,3,1,1,
922,4,2,B,735,,3,2,2,
923,4,2,B,735,,3,3,3,
924,4,2,B,735,,3,4,4,
925,4,2,B,735,,4,1,1,
926,4,2,B,735,,4,2,2,
927,4,2,B,735,,4,3,3,
928,4,2,B,735,,4,4,4,
929,4,2,B,735,,5,1,1,
930,4,2,B,735,,5,2,2,
931,4,2,B,735,,5,3,3,
932,4,2,B,735,,5,4,4,
933,4,2,B,735,,6,1,1,
934,4,2,B,735,,6,2,2,
935,4,2,B,735,,6,3,3,
936,4,2,B,735,,6,4,4,
937,4,2,B,735,,7,1,1,
938,4,2,B,735,,7,2,2,
939,4,2,B,735,,7,3,3,
940,4,2,B,735,,7,4,4,
941,4,2,B,735,,8,1,1,
942,4,2,B,735,,8,2,2,
943,4,2,B,735,,8,3,3,
944,4,2,B,735,,8,4,4,
945,4,2,B,735,,9,1,1,
946,4,2,B,735,,9,2,2,
947,4,2,B,735,,9,3,3,
948,4,2,B,735,,9,4,4,
949,4,2,B,735,,10,1,1,
950,4,2,B,735,,10,2,2,
951,4,2,B,735,,10,3,3,
952,4,2,B,735,,10,4,4,
953,4,2,B,735,,11,1,1,
954,4,2,B,735,,11,2,2,
955,4,2,B,735,,11,3,3,
956,4,2,B,735,,11,4,4,
957,4,2,B,735,,12,1,1,
958,4,2,B,735,,12,2,2,
959,4,2,B,735,,12,3,3,
960,4,2,B,735,,12,4,4,
961,4,3,C,735,,1,1,1,
962,4,3,C,735,,1,2,2,
963,4,3,C,735,,1,3,3,
964,4,3,C,735,,1,4,4,
965,4,3,C,735,,2,1,1,
966,4,3,C,735,,2,2,2,
967,4,3,C,735,,2,3,3,
968,4,3,C,735,,2,4,4,
969,4,3,C,735,,3,1,1,
970,4,3,C,735,,3,2,2,
971,4,3,C,735,,3,3,3,
972,4,3,C,735,,3,4,4,
973,4,3,C,735,,4,1,1,
974,4,3,C,735,,4,2,2,
975,4,3,C,735,,4,3,3,
976,4,3,C,735,,4,4,4,
977,4,3,C,735,,5,1,1,
978,4,3,C,735,,5,2,2,
979,4,3,C,735,,5,3,3,
980,4,3,C,735,,5,4,4,
981,4,3,C,735,,6,1,1,
982,4,3,C,735,,6,2,2,
983,4,3,C,735,,6,3,3,
984,4,3,C,735,,6,4,4,
985,4,3,C,735,,7,1,1,
986,4,3,C,735,,7,2,2,
987,4,3,C,735,,7,3,3,
988,4,3,C,735,,7,4,4,
989,4,3,C,735,,8,1,1,
990,4,3,C,735,,8,2,2,
991,4,3,C,735,,8,3,3,
992,4,3,C,735,,8,4,4,
993,4,3,C,735,,9,1,1,
994,4,3,C,735,,9,2,2,
995,4,3,C,735,,9,3,3,
996,4,3,C,735,,9,4,4,
997,4,3,C,735,,10,1,1,
998,4,3,C,735,,10,2,2,
999,4,3,C,735,,10,3,3,
1000,4,3,C,735,,10,4,4,
1001,4,3,C,735,,11,1,1,
1002,4,3,C,735,,11,2,2,
1003,4,3,C,735,,11,3,3,
1004,4,3,C,735,,11,4,4,
1005,4,3,C,735,,12,1,1,
1006,4,3,C,735,,12,2,2,
1007,4,3,C,735,,12,3,3,
1008,4,3,C,735,,12,4,4,
1009,4,4,A,850,,1,1,1,
1010,4,4,A,850,,1,2,2,
1011,4,4,A,850,,1,3,3,
1012,4,4,A,850,,1,4,4,
1013,4,4,A,850,,2,1,1,
1014,4,4,A,850,,2,2,2,
1015,4,4,A,850,,2,3,3,
1016,4,4,A,850,,2,4,4,
1017,4,4,A,850,,3,1,1,
1018,4,4,A,850,,3,2,2,
1019,4,4,A,850,,3,3,3,
1020,4,4,A,850,,3,4,4,
1021,4,4,A,850,,4,1,1,
1022,4,4,A,850,,4,2,2,
1023,4,4,A,850,,4,3,3,
1024,4,4,A,850,,4,4,4,
1025,4,4,A,850,,5,1,1,
1026,4,4,A,850,,5,2,2,
1027,4,4,A,850,,5,3,3,
1028,4,4,A,850,,5,4,4,
1029,4,4,A,850,,6,1,1,
1030,4,4,A,850,,6,2,2,
1031,4,4,A,850,,6,3,3,
1032,4,4,A,850,,6,4,4,
1033,4,4,A,850,,7,1,1,
1034,4,4,A,850,,7,2,2,
1035,4,4,A,850,,7,3,3,
1036,4,4,A,850,,7,4,4,
1037,4,4,A,850,,8,1,1,
1038,4,4,A,850,,8,2,2,
1039,4,4,A,850,,8,3,3,
1040,4,4,A,850,,8,4,4,
1041,4,4,A,850,,9,1,1,
1042,4,4,A,850,,9,2,2,
1043,4,4,A,850,,9,3,3,
1044,4,4,A,850,,9,4,4,
1045,4,4,A,850,,10,1,1,
1046,4,4,A,850,,10,2,2,
1047,4,4,A,850,,10,3,3,
1048,4,4,A,850,,10,4,4,
1049,4,4,A,850,,11,1,1,
1050,4,4,A,850,,11,2,2,
1051,4,4,A,850,,11,3,3,
1052,4,4,A,850,,11,4,4,
1053,4,4,A,850,,12,1,1,
1054,4,4,A,850,,12,2,2,
1055,4,4,A,850,,12,3,3,
1056,4,4,A,850,,12,4,4,
